file_id,filename,file_size,file_type,user_priority,time_sensitive,network_condition,chunk_size,upload_time,optimal_priority,success,actual_speed,transfer_time,error_count,retry_count,wait_time,context_tags,hour_of_day,day_of_week,file_extension
file_000000,application.html,2027,code,2,normal,good,2027,2025-11-01T21:20:49.167686,72.0,True,27276742.951407194,7.684538472903575e-05,0,0,290.73294763892125,,21,5,.html
file_000001,backup_237.rar,22195,archive,3,background,fair,22195,2025-11-12T19:10:49.170650,12.0,True,10378792.436580405,0.0020953232340193218,0,0,264.6850151230313,,19,2,.rar
file_000002,chart_492.gif,45527483,image,1,normal,critical,1048576,2025-11-04T09:49:49.170988,25.2,True,422606.03270900145,100.60935390924583,0,0,280.3266100287748,,9,1,.gif
file_000003,contract_20241116.txt,217635,document,1,normal,fair,217635,2025-10-21T12:43:49.171378,57.599999999999994,False,8938643.91346729,0.06986639815755971,2,2,126.90780846699168,,12,1,.txt
file_000004,summary_892.docx,287713,document,5,urgent,critical,287713,2025-10-18T12:37:49.171657,200.0,True,428044.20620288793,0.67187176616898,0,0,201.6144184514212,"high_priority,time_critical",12,5,.docx
file_000005,demo_544.mov,7117869,video,1,normal,fair,7117869,2025-10-23T10:41:49.171894,19.8,True,10228499.778502831,0.6598913190733983,0,0,204.8043916597799,,10,3,.mov
file_000006,interview.ogg,3094179,audio,3,flexible,critical,2097152,2025-11-09T19:19:49.172875,57.20000000000001,False,526452.9696529858,16.827477611861635,2,2,177.05677036416859,,19,6,.ogg
file_000007,priority_memo_v2.docx,14404,emergency,3,urgent,critical,14404,2025-11-07T05:08:49.173942,200.0,True,490806.04416314315,0.026686137196166863,0,0,125.34588500056138,"critical,deadline,time_critical",5,4,.docx
file_000008,project_files_105.tar,8358,archive,4,urgent,good,8358,2025-10-27T14:32:49.174158,40.31999999999999,True,14928074.563156413,0.0005812834880373123,0,0,289.1492867576692,time_critical,14,0,.tar
file_000009,source_584.html,11059,code,1,flexible,critical,11059,2025-11-02T14:41:49.174309,56.160000000000004,False,428140.3345679729,0.07606271710741758,1,1,202.72271000104956,,14,6,.html
file_000010,recording.mp3,18262282,audio,3,normal,good,4194304,2025-10-28T15:05:49.175088,50.0,True,20258990.162555262,0.8804033198376652,0,0,158.00376446993982,,15,1,.mp3
file_000011,thumbnail.png,23597727,image,2,flexible,poor,2097152,2025-10-17T00:08:49.175264,26.880000000000003,True,2297989.09793013,10.220132660760004,0,0,171.29143223679796,,0,4,.png
file_000012,document_v8.pdf,7344951,document,4,normal,fair,4194304,2025-11-11T14:50:49.175404,105.6,True,11734803.722159296,0.6140684559999172,0,0,112.59725876018325,,14,1,.pdf
file_000013,module.cpp,358323,code,4,urgent,good,358323,2025-10-20T23:56:49.175569,151.2,True,23305847.559568167,0.01542403497767949,0,0,283.70642393427477,time_critical,23,0,.cpp
file_000014,clip.wmv,543528971,video,3,normal,excellent,8388608,2025-10-31T00:52:49.175692,27.0,True,45029345.36008531,11.16344677894748,0,0,159.44009218109767,,0,4,.wmv
file_000015,screenshot.tiff,39597139,image,5,urgent,poor,2097152,2025-10-24T19:45:49.175819,82.32,False,2252058.4886119133,48.65926095528473,3,3,105.95567335922877,"high_priority,time_critical",19,4,.tiff
file_000016,website_20251008.js,394010,code,3,normal,poor,394010,2025-10-30T06:11:49.177326,117.0,True,1983510.0607375014,0.2024224713109766,0,0,44.776441370759215,,6,3,.js
file_000017,voicemail_v5.aac,5923994,audio,1,background,excellent,5923994,2025-11-02T00:27:49.177644,16.5,True,49983439.29790627,0.11707194849587284,0,0,25.034913461264097,,0,6,.aac
